,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Total
1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,0,3,10,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
6,0,0,7,28,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
7,0,0,4,15,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
8,0,1,6,33,27,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
9,0,0,1,5,17,17,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
10,0,0,0,2,6,20,21,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
11,0,0,0,0,3,13,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
12,0,0,0,0,0,10,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
13,0,0,0,1,1,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
14,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
15,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
16,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
17,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3